dataset_id,method,metric,K,score
20newsgroups,tsne,ami,2,0.7628854048832098
20newsgroups,tsne,ami,2,0.7528325911734676
20newsgroups,tsne,ami,2,0.7640473981734865
20newsgroups,tsne,ami,2,0.7572774772903609
20newsgroups,tsne,ami,2,0.7663774156995562
20newsgroups,tsne,ami,2,0.7590850869030374
20newsgroups,tsne,ami,2,0.9839696841645307
20newsgroups,tsne,ami,2,0.7766093856217534
20newsgroups,tsne,ami,2,0.9645136220484548
20newsgroups,tsne,ami,2,0.7628751035594654
20newsgroups,tsne,ami,2,0.7756473842337205
20newsgroups,tsne,ami,2,0.7709627485900041
20newsgroups,tsne,ami,2,0.7367623114042046
20newsgroups,tsne,ami,2,0.7744862940878632
20newsgroups,tsne,ami,2,0.7851482084287547
20newsgroups,tsne,ami,2,0.7685487263127542
20newsgroups,tsne,ami,2,0.7524103488195443
20newsgroups,tsne,ami,2,0.980623800380106
20newsgroups,tsne,ami,2,0.9811456744166138
20newsgroups,tsne,ami,2,0.7338243065855177
20newsgroups,tsne,ami,2,0.7456178193139712
20newsgroups,tsne,ami,2,0.994003433037153
20newsgroups,tsne,ami,2,0.7444253853507942
20newsgroups,tsne,ami,2,0.9780099206368174
20newsgroups,tsne,ami,2,0.7316705899250374
20newsgroups,tsne,ami,2,0.9966860923910639
20newsgroups,tsne,ami,2,0.7470973910643711
20newsgroups,tsne,ami,2,0.9806338948344313
20newsgroups,tsne,ami,2,0.7235305372529907
20newsgroups,tsne,ami,2,0.983947153725259
20newsgroups,tsne,ami,2,0.9911542769691214
20newsgroups,tsne,ami,2,0.914458099783639
20newsgroups,tsne,ami,2,0.7459205115565445
20newsgroups,tsne,ami,2,0.7321584724446399
20newsgroups,tsne,ami,2,0.786566104235623
20newsgroups,tsne,ami,2,0.9799577966665852
20newsgroups,tsne,ami,2,0.7466443042518955
20newsgroups,tsne,ami,2,0.7630124475548448
20newsgroups,tsne,ami,2,0.7697060792363597
20newsgroups,tsne,ami,2,0.9912108613867033
20newsgroups,tsne,ami,2,0.760374345545108
20newsgroups,tsne,ami,2,0.9960282095855335
20newsgroups,tsne,ami,2,0.772750110116751
20newsgroups,tsne,ami,2,0.9911667180901315
20newsgroups,tsne,ami,2,0.9214852042099887
20newsgroups,tsne,ami,2,0.7565310286770549
20newsgroups,tsne,ami,2,0.9904275172531483
20newsgroups,tsne,ami,2,0.7625772345125371
20newsgroups,tsne,ami,2,0.9911893259414106
20newsgroups,tsne,ami,2,0.9518331444642619
20newsgroups,tsne,ami,2,0.7794771891542229
20newsgroups,tsne,ami,2,0.993503163357069
20newsgroups,tsne,ami,2,1.0
20newsgroups,tsne,ami,2,0.9988411731405314
20newsgroups,tsne,ami,2,0.9730414617622144
20newsgroups,tsne,ami,2,0.7600138525435466
20newsgroups,tsne,ami,2,0.7554631944150673
20newsgroups,tsne,ami,2,0.9927043629667325
20newsgroups,tsne,ami,2,0.7688428729233409
20newsgroups,tsne,ami,2,0.7503057106432988
20newsgroups,tsne,ami,2,0.7544331019739283
20newsgroups,tsne,ami,2,0.9241141438662452
20newsgroups,tsne,ami,2,0.9889334196533056
20newsgroups,tsne,ami,2,0.9943219765810323
20newsgroups,tsne,ami,2,0.919928221317539
20newsgroups,tsne,ami,2,0.9895311860809292
20newsgroups,tsne,ami,2,0.7864138386433402
20newsgroups,tsne,ami,2,0.9766448238973167
20newsgroups,tsne,ami,2,0.7534876307764954
20newsgroups,tsne,ami,2,0.9877237067857759
20newsgroups,tsne,ami,2,0.9935080445995544
20newsgroups,tsne,ami,2,0.7400721289458149
20newsgroups,tsne,ami,2,0.7549718192565729
20newsgroups,tsne,ami,2,0.754744389820052
20newsgroups,tsne,ami,2,0.9874523254500003
20newsgroups,tsne,ami,2,0.9951590498805637
20newsgroups,tsne,ami,2,0.7461313525663539
20newsgroups,tsne,ami,2,0.7558292248032767
20newsgroups,tsne,ami,2,0.744054926519916
20newsgroups,tsne,ami,2,0.9881991509701702
20newsgroups,tsne,ami,2,0.9523041759239864
20newsgroups,tsne,ami,2,0.7644136901506114
20newsgroups,tsne,ami,2,0.7182637110318958
20newsgroups,tsne,ami,2,0.9903977582642748
20newsgroups,tsne,ami,2,0.7557731300567444
20newsgroups,tsne,ami,2,0.9969141574453492
20newsgroups,tsne,ami,2,0.9723655793442345
20newsgroups,tsne,ami,2,0.7444200764826482
20newsgroups,tsne,ami,2,0.7523285608519996
20newsgroups,tsne,ami,2,0.9839094515928196
20newsgroups,tsne,ami,2,0.7547854713597894
20newsgroups,tsne,ami,2,0.7626533080179982
20newsgroups,tsne,ami,2,0.9951642942125972
20newsgroups,tsne,ami,2,0.9951611413204307
20newsgroups,tsne,ami,2,0.9775214248133377
20newsgroups,tsne,ami,2,0.9854585339095249
20newsgroups,tsne,ami,2,0.9779432865227612
20newsgroups,tsne,ami,2,0.9927088156546755
20newsgroups,tsne,ami,2,0.9839747848201887
20newsgroups,tsne,ami,2,0.7762688062094155
20newsgroups,tsne,ami,2,0.932296484948459
20newsgroups,tsne,ami,2,0.7773767925250702
20newsgroups,tsne,ami,2,0.9761672589153253
20newsgroups,tsne,ami,2,0.9457821695966265
20newsgroups,tsne,ami,2,0.9960224551835092
20newsgroups,tsne,ami,2,0.7546863794143177
20newsgroups,tsne,ami,2,0.7679323078707984
20newsgroups,tsne,ami,2,0.9516065852411432
20newsgroups,tsne,ami,2,0.9921633932308827
20newsgroups,tsne,ami,2,0.7844036509455081
20newsgroups,tsne,ami,2,0.985557557399333
20newsgroups,tsne,ami,2,0.996681643759379
20newsgroups,tsne,ami,2,0.9729759169997988
